       1        2      101
       1       11        2
       1      101       11
       2        3      102
       2       11       12
       2       12        3
       2      102      101
       3        4      103
       3       12       13
       3       13        4
       3      103      102
       4        5      104
       4       13       14
       4       14        5
       4      104      103
       5        6      105
       5       14       15
       5       15        6
       5      105      104
       6        7      106
       6       15       16
       6       16        7
       6      106      105
       7        8      107
       7       16       17
       7       17        8
       7      107      106
       8        9      108
       8       17       18
       8       18        9
       8      108      107
       9       10      109
       9       18       19
       9       19       10
       9      109      108
      10       19       20
      10      110      109
      11       21       12
      11      101      111
      11      111       21
      12       21       22
      12       22       13
      13       22       23
      13       23       14
      14       23       24
      14       24       15
      15       24       25
      15       25       16
      16       25       26
      16       26       17
      17       26       27
      17       27       18
      18       27       28
      18       28       19
      19       28       29
      19       29       20
      20       29       30
      21       31       22
      21      111      121
      21      121       31
      22       31       32
      22       32       23
      23       32       33
      23       33       24
      24       33       34
      24       34       25
      25       34       35
      25       35       26
      26       35       36
      26       36       27
      27       36       37
      27       37       28
      28       37       38
      28       38       29
      29       38       39
      29       39       30
      30       39       40
      31       41       32
      31      121      131
      31      131       41
      32       41       42
      32       42       33
      33       42       43
      33       43       34
      34       43       44
      34       44       35
      35       44       45
      35       45       36
      36       45       46
      36       46       37
      37       46       47
      37       47       38
      38       47       48
      38       48       39
      39       48       49
      39       49       40
      40       49       50
      41       51       42
      41      131      141
      41      141       51
      42       51       52
      42       52       43
      43       52       53
      43       53       44
      44       53       54
      44       54       45
      45       54       55
      45       55       46
      46       55       56
      46       56       47
      47       56       57
      47       57       48
      48       57       58
      48       58       49
      49       58       59
      49       59       50
      50       59       60
      51       61       52
      51      141      151
      51      151       61
      52       61       62
      52       62       53
      53       62       63
      53       63       54
      54       63       64
      54       64       55
      55       64       65
      55       65       56
      56       65       66
      56       66       57
      57       66       67
      57       67       58
      58       67       68
      58       68       59
      59       68       69
      59       69       60
      60       69       70
      61       71       62
      61      151      161
      61      161       71
      62       71       72
      62       72       63
      63       72       73
      63       73       64
      64       73       74
      64       74       65
      65       74       75
      65       75       66
      66       75       76
      66       76       67
      67       76       77
      67       77       68
      68       77       78
      68       78       69
      69       78       79
      69       79       70
      70       79       80
      71       81       72
      71      161      171
      71      171       81
      72       81       82
      72       82       73
      73       82       83
      73       83       74
      74       83       84
      74       84       75
      75       84       85
      75       85       76
      76       85       86
      76       86       77
      77       86       87
      77       87       78
      78       87       88
      78       88       79
      79       88       89
      79       89       80
      80       89       90
      81       91       82
      81      171      181
      81      181       91
      82       91       92
      82       92       83
      83       92       93
      83       93       84
      84       93       94
      84       94       85
      85       94       95
      85       95       86
      86       95       96
      86       96       87
      87       96       97
      87       97       88
      88       97       98
      88       98       89
      89       98       99
      89       99       90
      90       99      100
      91      181      191
     101      102      201
     101      201      111
     102      103      202
     102      202      201
     103      104      203
     103      203      202
     104      105      204
     104      204      203
     105      106      205
     105      205      204
     106      107      206
     106      206      205
     107      108      207
     107      207      206
     108      109      208
     108      208      207
     109      110      209
     109      209      208
     110      210      209
     111      201      211
     111      211      121
     121      211      221
     121      221      131
     131      221      231
     131      231      141
     141      231      241
     141      241      151
     151      241      251
     151      251      161
     161      251      261
     161      261      171
     171      261      271
     171      271      181
     181      271      281
     181      281      191
     191      281      291
     201      202      301
     201      301      211
     202      203      302
     202      302      301
     203      204      303
     203      303      302
     204      205      304
     204      304      303
     205      206      305
     205      305      304
     206      207      306
     206      306      305
     207      208      307
     207      307      306
     208      209      308
     208      308      307
     209      210      309
     209      309      308
     210      310      309
     211      301      311
     211      311      221
     221      311      321
     221      321      231
     231      321      331
     231      331      241
     241      331      341
     241      341      251
     251      341      351
     251      351      261
     261      351      361
     261      361      271
     271      361      371
     271      371      281
     281      371      381
     281      381      291
     291      381      391
     301      302      401
     301      401      311
     302      303      402
     302      402      401
     303      304      403
     303      403      402
     304      305      404
     304      404      403
     305      306      405
     305      405      404
     306      307      406
     306      406      405
     307      308      407
     307      407      406
     308      309      408
     308      408      407
     309      310      409
     309      409      408
     310      410      409
     311      401      411
     311      411      321
     321      411      421
     321      421      331
     331      421      431
     331      431      341
     341      431      441
     341      441      351
     351      441      451
     351      451      361
     361      451      461
     361      461      371
     371      461      471
     371      471      381
     381      471      481
     381      481      391
     391      481      491
     401      402      501
     401      501      411
     402      403      502
     402      502      501
     403      404      503
     403      503      502
     404      405      504
     404      504      503
     405      406      505
     405      505      504
     406      407      506
     406      506      505
     407      408      507
     407      507      506
     408      409      508
     408      508      507
     409      410      509
     409      509      508
     410      510      509
     411      501      511
     411      511      421
     421      511      521
     421      521      431
     431      521      531
     431      531      441
     441      531      541
